0,0.206,0.277,0.374,0.476,0.725,1.025,1.396,1.895,2.052
-0,-0.033792,0.040604,0,0.24137,-0,0.429003,-0,0,0
0.033792,-0,-0,0.040604,-0,0.24137,0,0.429003,0,0
0,-0.074483,0.012963,-0,0.436348,0,0.312193,0,0,0
0.074483,-0,-0,0.012963,0,0.436348,0,0.312193,0,0
-0,-0.07832,0.005567,0,0.601708,-0,0.252717,-0,0,0
0.07832,-0,0,0.005567,-0,0.601708,-0,0.252717,0,0
0,-0.079141,0.00371,0,0.70144,0,0.228925,0,0,0
0.079141,0,-0,0.00371,-0,0.70144,-0,0.228925,0,0
0,-0.079508,0.002882,-0,0.772165,0,0.215525,0,0,0
0.079508,0,0,0.002882,-0,0.772165,-0,0.215525,0,0
0,-0.079202,0.003573,-0,0.711569,0,0.226853,0,0,0
0.079202,0,0,0.003573,-0,0.711569,-0,0.226853,0,0
0,-0.07906,0.003895,-0,0.688669,0,0.231618,0,0,0
0.07906,0,0,0.003895,-0,0.688669,-0,0.231618,0,0
-0,-0.078992,0.004052,-0,0.678449,-0,0.233841,-0,0,0
0.078992,-0,-0,0.004052,0,0.678449,-0,0.233841,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
