0,0.206,0.277,0.374,0.476,0.725,1.025,1.396,1.895,2.052
-0,-0.010234,0.010684,0,0.102307,0,0.279107,0,0,0
0.010234,-0,-0,0.010684,0,0.102307,0,0.279107,0,0
0,-0.0191,0.003154,-0,0.168615,-0,0.182805,0,0,0
0.0191,-0,0,0.003154,0,0.168615,0,0.182805,0,0
0,-0.01969,0.001353,-0,0.225721,0,0.141741,0,0,0
0.01969,-0,-0,0.001353,0,0.225721,-0,0.141741,0,0
0,-0.019792,0.000902,-0,0.259714,0,0.12567,0,0,0
0.019792,-0,-0,0.000902,0,0.259714,0,0.12567,0,0
0,-0.019833,0.000701,-0,0.283556,-0,0.116649,-0,0,0
0.019833,-0,-0,0.000701,0,0.283556,0,0.116649,0,0
-0,-0.019799,0.000869,0,0.263142,-0,0.124274,-0,0,0
0.019799,0,0,0.000869,-0,0.263142,-0,0.124274,0,0
-0,-0.019783,0.000947,-0,0.255385,-0,0.127484,-0,0,0
0.019783,-0,0,0.000947,0,0.255385,0,0.127484,0,0
0,-0.019774,0.000985,-0,0.251915,-0,0.128983,-0,0,0
0.019774,0,0,0.000985,-0,0.251915,-0,0.128983,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
