0,0.206,0.277,0.374,0.476,0.725,1.025,1.396,1.895,2.052
0,-0.006142,0.010277,-0,0.095955,-0,0.30279,-0,0,0
0.006142,0,-0,0.010277,-0,0.095955,0,0.30279,0,0
-0,-0.018414,0.003372,-0,0.197757,-0,0.259671,-0,0,0
0.018414,0,0,0.003372,0,0.197757,0,0.259671,0,0
0,-0.0194,0.001403,-0,0.269891,0,0.205634,0,0,0
0.0194,-0,-0,0.001403,-0,0.269891,-0,0.205634,0,0
0,-0.019582,0.000926,0,0.311899,0,0.183192,0,0,0
0.019582,-0,-0,0.000926,0,0.311899,0,0.183192,0,0
0,-0.019658,0.000716,-0,0.34123,0,0.170434,0,0,0
0.019658,-0,-0,0.000716,-0,0.34123,-0,0.170434,0,0
0,-0.019594,0.000891,0,0.316121,0,0.181225,0,0,0
0.019594,0,-0,0.000891,-0,0.316121,-0,0.181225,0,0
0,-0.019564,0.000973,-0,0.306564,0,0.185746,-0,0,0
0.019564,-0,0,0.000973,0,0.306564,-0,0.185746,0,0
-0,-0.01955,0.001013,0,0.302286,0,0.187852,0,0,0
0.01955,0,-0,0.001013,-0,0.302286,-0,0.187852,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
