0,0.206,0.277,0.374,0.476,0.725,1.025,1.396,1.895,2.052
0,-0.014652,0.037119,-0,0.211262,0,0.442717,0,0,0
0.014652,-0,0,0.037119,0,0.211262,0,0.442717,0,0
-0,-0.068071,0.013755,0,0.495925,-0,0.435109,-0,0,0
0.068071,0,0,0.013755,-0,0.495925,-0,0.435109,0,0
0,-0.074808,0.005778,-0,0.707672,-0,0.364048,-0,0,0
0.074808,-0,-0,0.005778,-0,0.707672,-0,0.364048,0,0
0,-0.076376,0.003815,-0,0.832243,0,0.332474,0,0,0
0.076376,-0,-0,0.003815,0,0.832243,0,0.332474,0,0
0,-0.077098,0.002948,-0,0.919977,0,0.314215,0,0,0
0.077098,0,0,0.002948,-0,0.919977,-0,0.314215,0,0
0,-0.076494,0.00367,-0,0.844831,0,0.329671,0,0,0
0.076494,-0,0,0.00367,0,0.844831,0,0.329671,0,0
0,-0.076218,0.004008,0,0.816356,0,0.336106,-0,0,0
0.076218,0,0,0.004008,-0,0.816356,-0,0.336106,0,0
-0,-0.076085,0.004173,-0,0.80363,-0,0.339094,-0,0,0
0.076085,-0,0,0.004173,0,0.80363,0,0.339094,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
