0,0.206,0.277,0.374,0.476,0.725,1.025,1.396,1.895,2.052
-0,-0.013401,0.058091,-0,0.27156,-0,0.498487,0,0,0
0.013401,-0,-0,0.058091,-0,0.27156,0,0.498487,0,0
-0,-0.106821,0.023559,-0,0.696685,-0,0.535549,-0,0,0
0.106821,0,-0,0.023559,-0,0.696685,-0,0.535549,0,0
-0,-0.121943,0.010019,-0,1.027964,-0,0.465939,-0,0,0
0.121943,0,0,0.010019,-0,1.027964,0,0.465939,0,0
-0,-0.125796,0.006625,0,1.224368,-0,0.432832,-0,0,0
0.125796,-0,-0,0.006625,0,1.224368,0,0.432832,0,0
0,-0.127626,0.005122,0,1.363367,0,0.413363,0,0,0
0.127626,0,-0,0.005122,-0,1.363367,-0,0.413363,0,0
-0,-0.126093,0.006375,-0,1.244278,-0,0.429856,-0,0,0
0.126093,-0,-0,0.006375,0,1.244278,0,0.429856,0,0
-0,-0.125401,0.006961,-0,1.199258,0,0.43668,0,0,0
0.125401,-0,-0,0.006961,-0,1.199258,0,0.43668,0,0
0,-0.125068,0.007247,-0,1.179158,0,0.439839,0,0,0
0.125068,0,0,0.007247,-0,1.179158,-0,0.439839,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
