0,0.206,0.277,0.374,0.476,0.725,1.025,1.396,1.895,2.052
0,-0.048284,0.065843,0,0.325704,0,0.499543,-0,0,0
0.048284,0,-0,0.065843,-0,0.325704,-0,0.499543,0,0
-0,-0.123217,0.022421,0,0.631045,-0,0.392309,-0,0,0
0.123217,-0,-0,0.022421,0,0.631045,0,0.392309,0,0
-0,-0.131925,0.009672,0,0.890349,-0,0.327793,-0,0,0
0.131925,0,0,0.009672,-0,0.890349,-0,0.327793,0,0
0,-0.133958,0.006446,-0,1.047912,0,0.301442,0,0,0
0.133958,0,-0,0.006446,-0,1.047912,0,0.301442,0,0
0,-0.134893,0.005005,0,1.160302,0,0.286545,0,0,0
0.134893,-0,-0,0.005005,0,1.160302,0,0.286545,0,0
0,-0.134111,0.006207,-0,1.063974,0,0.29914,0,0,0
0.134111,-0,-0,0.006207,0,1.063974,0,0.29914,0,0
0,-0.133754,0.006767,0,1.027676,0,0.304432,0,0,0
0.133754,0,-0,0.006767,-0,1.027676,-0,0.304432,0,0
0,-0.133581,0.00704,0,1.011494,0,0.306899,0,0,0
0.133581,-0,-0,0.00704,-0,1.011494,0,0.306899,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
