0,0.025,0.0575,0.265,0.59,0.8575,1.045,1.1475,1.3425,1.9175
0,-0.077624,0.002842,0,0.495449,0,0.137398,0,0,0
0.077636,0,-0,0.002842,-0,0.493601,-0,0.136352,0,0
-0,-0.078029,0.001283,0,0.664818,-0,0.112972,-0,0,0
0.078037,0,0,0.001283,0,0.662364,0,0.112128,0,0
0,-0.078098,0.001022,0,0.724734,0,0.107133,0,0,0
0.078105,0,0,0.001022,-0,0.722076,-0,0.106339,0,0
0,-0.078131,0.000898,0,0.76141,-0,0.104028,0,0,0
0.078137,0,-0,0.000898,-0,0.758629,0,0.103261,0,0
-0,-0.07811,0.000977,-0,0.737266,0,0.106036,-0,0,0
0.078116,0,0,0.000977,0,0.734566,0,0.105251,0,0
0,-0.078088,0.001059,-0,0.714815,-0,0.108029,-0,0,0
0.078095,-0,-0,0.001059,0,0.712191,0,0.107228,0,0
0,-0.078052,0.001196,-0,0.682826,-0,0.111105,-0,0,0
0.078059,0,-0,0.001196,-0,0.68031,-0,0.110277,0,0
-0,-0.078015,0.001336,0,0.654848,-0,0.114051,-0,0,0
0.078023,0,0,0.001336,-0,0.652428,-0,0.113198,0,0
0,-0.077806,0.00215,-0,0.548705,0,0.128051,0,0,0
0.077817,0,-0,0.00215,0,0.546662,0,0.127081,0,0
0,-0.071858,0.015257,-0,0.272964,-0,0.218387,0,0,0
0.071904,-0,0,0.015252,0,0.272026,0,0.21676,0,0
